split,policy,seed,H0,n_intervals,n_reference_updates,W,W_over_H0,delta_H,original_final_relative_energy_change,jump_sum,jump_sum_over_H0,boundary_term,boundary_over_H0,telescope_error,work_energy_error,max_interval_work_energy_error,max_stored_relative_energy_error,positive_net_interval_fraction,net_over_sum_absolute_interval_work,unreferenced_work_over_H0,reference_assisted_work_over_H0,updates_with_positive_post_power,updates_with_negative_post_power,max_nonfull_power_contraction_error
heldout,class_horizon,2026090613,0.47789999999999994,2000,125,0.27398781222679713,0.5733162005164201,0.273987812226753,0.5733162005163278,0.3554499430782187,0.7437747291864799,-0.08146213085142151,-0.17045852867005967,-5.551115123125783e-17,4.413136522884997e-14,4.744468706796567e-16,0.0,0.956,0.9896239047011014,0.5609889888826238,0.012327211633796952,119,6,7.979727989493313e-17
heldout,empirical_horizon,2026090613,0.47789999999999994,2000,82,0.49537836103793753,1.0365732601756383,0.49537836103788896,1.0365732601755369,0.6080750025321212,1.2723896265581112,-0.11269664149418364,-0.2358163663824726,0.0,4.85722573273506e-14,6.546412717467476e-16,0.0,0.926,0.9901957867634794,1.0230037262737965,0.013569533901841471,76,6,1.1796119636642288e-16
heldout,fixed_streak,2026090613,0.47789999999999994,2000,124,0.27693572428934404,0.579484671038594,0.27693572428929786,0.5794846710384973,0.3575472996117089,0.7481634224978216,-0.08061157532236485,-0.1686787514592276,0.0,4.618527782440651e-14,4.0505793164058446e-16,0.0,0.954,0.9865785286576059,0.567324289959185,0.012160381079409003,116,8,8.673617379884035e-17
heldout,class_horizon,2026090614,0.921875,2000,168,0.3641668813478523,0.3950284814620771,0.36416688134777897,0.39502848146199754,0.37753479007026486,0.4095292638050331,-0.013367908722412567,-0.014500782342956004,0.0,7.333023077649159e-14,7.686993402922226e-16,0.0,0.9745,0.9998233461019888,0.3827490035991174,0.012279477862959692,161,7,1.2923689896027213e-16
heldout,empirical_horizon,2026090614,0.921875,2000,105,0.6661757502206499,0.7226313222732473,0.6661757502205836,0.7226313222731755,0.7017711153579603,0.7612432437781265,-0.03559536513731034,-0.038611921504879014,-1.1102230246251565e-16,6.628031457012185e-14,9.024898883769339e-16,0.0,0.9575,0.9991378764569723,0.7099276181196581,0.012703704153589583,96,9,1.6306400674181987e-16
heldout,fixed_streak,2026090614,0.921875,2000,126,0.5179991780783381,0.5618974135087057,0.5179991780782693,0.5618974135086311,0.5496788828541538,0.5962618390282346,-0.03167970477581573,-0.034364425519528924,0.0,6.872280522429719e-14,8.36136715420821e-16,0.0,0.966,0.9996156267080512,0.5497455829398306,0.012151830568874901,120,6,1.6132928326584306e-16
heldout,class_horizon,2026090615,1.417475,2000,195,0.4642805881112477,0.3275405831575497,0.4642805881111405,0.32754058315747403,0.4443602121881019,0.313487160047339,0.01992037592314587,0.01405342311021067,-5.551115123125783e-17,1.0724754417879012e-13,1.3607821466865566e-15,0.0,0.9775,0.9999017960778106,0.31483693801955515,0.012703645137994815,188,7,2.0643209364124004e-16
heldout,empirical_horizon,2026090615,1.417475,2000,119,0.8411646605665836,0.5934246886658202,0.8411646605664966,0.5934246886657589,0.8005913168771256,0.564801013687808,0.040573343689457995,0.02862367497801231,0.0,8.693046282814976e-14,1.440037325495247e-15,0.0,0.9595,0.9994133355041663,0.5804795603431936,0.012945128322627281,111,8,1.942890293094024e-16
heldout,fixed_streak,2026090615,1.417475,2000,123,0.8350289191332385,0.5890960469378568,0.8350289191330931,0.5890960469377542,0.8037860652842826,0.5670548442013317,0.03124285384895583,0.022041202736525038,0.0,1.454392162258955e-13,1.440037325495247e-15,0.0,0.9655,0.9996267557306858,0.5762730544801771,0.012822992457678649,115,8,2.0990154059319366e-16
outside_class,class_horizon,2026090700,0.29575,2000,129,0.4937700881779576,1.6695522846253847,0.4937700881779283,1.6695522846252857,0.47020417471563464,1.5898704132396775,0.02356591346232291,0.07968187138570722,5.551115123125783e-17,2.930988785010413e-14,4.36282954208167e-16,0.0,0.961,0.9985151396585893,1.6297292629264133,0.039823021698971374,120,9,1.0321604682062002e-16
outside_class,empirical_horizon,2026090700,0.29575,2000,94,0.8719681890299895,2.948328618867251,0.8719681890299327,2.948328618867059,0.8215288618839831,2.777781443394702,0.05043932714600644,0.17054717547254925,0.0,5.684341886080802e-14,6.245004513516506e-16,0.0,0.9385,0.9981184752021907,2.899324023594191,0.04900459527305968,89,5,1.457167719820518e-16
