anchor_index,elapsed_fs,path_length_A,bound_eV_A
237,0.5,0.02597453915836767,0.10779093734847821
238,0.5,0.025168920250117195,0.1096930203086866
239,0.5,0.024150972903513857,0.1096490938096995
240,0.5,0.023212052083892275,0.10593511895862415
241,0.5,0.022591362539728852,0.08285162474279598
241,1.0,0.045010728381099846,0.10345741129479641
242,0.5,0.02238307917923113,0.07057765431720972
242,1.0,0.04491327856643465,0.08351493699632176
242,1.5,0.06767171183930737,0.09658327605203788
242,2.0,0.0904620498150296,0.10966993541431072
243,0.5,0.02249125621914487,0.06921477674814
243,1.0,0.045210691250076,0.0853199774923824
243,1.5,0.06796768815787435,0.10145180484800198
244,0.5,0.02267267400887333,0.07857294000992883
244,1.0,0.04538430568496164,0.10850168106891571
245,0.5,0.022646127906081514,0.09336587265345128
245,1.0,0.04494681706027391,0.14152394964341555
246,0.5,0.02221607225469477,0.10652626875752114
247,0.5,0.021381641053484356,0.11008980299594469
248,0.5,0.020409581336300536,0.09716938673023728
248,1.0,0.04023030074840264,0.139626184731809
249,0.5,0.019799369821104345,0.06790398801395842
249,1.0,0.039819719491095265,0.09394593444048549
249,1.5,0.060926633428280544,0.121401255203709
250,0.5,0.02002648224656131,0.06245063165057416
250,1.0,0.04115728248196923,0.08993702308483467
250,1.5,0.0638565297196125,0.11946360929482802
251,0.5,0.024255915825188785,0.08039920690030339
251,1.0,0.04951167327857017,0.11325123463227549
252,0.5,0.0257272438905161,0.08467032649532748
252,1.0,0.05126432190724234,0.10523698611397242
253,0.5,0.025073717049439382,0.10419918278035128
254,0.5,0.024509908929409595,0.09057025529483104
254,1.0,0.04857105310293118,0.1300108802883522
255,0.5,0.023936448542225434,0.074070543047731
255,1.0,0.04799672686226611,0.11350974874871171
256,0.5,0.02406027832004068,0.05698390732843116
256,1.0,0.04834155851250321,0.08854360882459372
256,1.5,0.07270084376275356,0.1202046977401782
257,0.5,0.02407121874620932,0.050274168388239074
257,1.0,0.04743939452764981,0.0799353394878869
257,1.5,0.06985807671236297,0.10839132057638644
258,0.5,0.02163030666408867,0.05994523228367528
258,1.0,0.04300674832063149,0.08569279245717286
258,1.5,0.06481776189945104,0.11196378711515154
259,0.5,0.022669634121875865,0.06899014303663283
259,1.0,0.04622563703859258,0.09736294765444956
259,1.5,0.0703590369991815,0.12643121718499412
260,0.5,0.02429486739133022,0.039351691106583264
260,1.0,0.04843489605329007,0.06622815740917373
260,1.5,0.07228973052173268,0.0927871008024464
260,2.0,0.09595529648849357,0.11913532081262687
261,0.5,0.02366556596676089,0.08324978737219188
261,1.0,0.047420239060669146,0.11157718477904258
262,0.5,0.024175856684387823,0.07100839848277442
262,1.0,0.04901513081554372,0.1006291803318583
263,0.5,0.025464745893988734,0.07770768762126017
263,1.0,0.051355431700617064,0.12178304761966058
264,0.5,0.025726426708174724,0.11990359020661892
265,0.5,0.024989152634233056,0.1199038523532909
266,0.5,0.023814306754081208,0.104950017415678
267,0.5,0.02253515410083532,0.06888758492409122
267,1.0,0.044136918414739296,0.09201393125732724
267,1.5,0.06537833276566116,0.11475449530333919
268,0.5,0.027872970577396503,0.09572449039090136
268,1.0,0.05572015787507365,0.15120071064218998
269,0.5,0.026085172551079852,0.09012539456264111
269,1.0,0.049427989766346894,0.13300873532218552
270,0.5,0.023342817215267046,0.12615376795229089
271,0.5,0.021429999746038198,0.14414572680776472
272,0.5,0.02208421225033739,0.1507524523257137
273,0.5,0.024950320614998495,0.13810816500616718
274,0.5,0.028108742814182158,0.11411474884652892
275,0.5,0.030074735777613146,0.11027390464604511
276,0.5,0.03028500543508755,0.13325716062351678
277,0.5,0.028845693407611735,0.12731288000809476
278,0.5,0.02628554795131433,0.10326254939144072
279,0.5,0.023430826127815475,0.07594209174380295
279,1.0,0.04476568837042663,0.12382990612698744
280,0.5,0.02131637490975629,0.05777706218502178
280,1.0,0.04219597460288419,0.0962247255793858
280,1.5,0.06444973122772188,0.13720275947595822
281,0.5,0.020860222546312056,0.05375531561820612
281,1.0,0.0430967098368283,0.09297060507954663
281,1.5,0.06773695341663777,0.13642505324646897
282,0.5,0.022212211438202404,0.0456207146376089
282,1.0,0.04683095936668588,0.07890156237195106
282,1.5,0.0737965951994148,0.11535504988544276
283,0.5,0.024592284743132457,0.03493225940139115
283,1.0,0.05153552600481238,0.053163411379376586
283,1.5,0.07988443177349278,0.07234570665182652
283,2.0,0.10808645804583075,0.09142861587067355
283,2.5,0.13437089697872884,0.10921398906269851
284,0.5,0.02690504292812156,0.03951990693477878
284,1.0,0.0552212792418067,0.058680096411074786
